Price,symbol,open,high,low,close,volume
Ticker,LULU,LULU,LULU,LULU,LULU,LULU
date,,,,,,
2015-12-15,LULU,49.2599983215332,49.2599983215332,49.790000915527344,47.5099983215332,3222500
2015-12-16,LULU,49.970001220703125,49.970001220703125,50.70000076293945,49.189998626708984,3937400
2015-12-17,LULU,50.0,50.0,51.2400016784668,49.75,3128400
2015-12-18,LULU,50.2599983215332,50.2599983215332,51.06999969482422,49.04999923706055,2731800
2015-12-21,LULU,51.900001525878906,51.900001525878906,51.9900016784668,50.349998474121094,2583700
2015-12-22,LULU,53.150001525878906,53.150001525878906,53.349998474121094,51.58000183105469,2522500
2015-12-23,LULU,52.88999938964844,52.88999938964844,53.959999084472656,52.47999954223633,2052600
2015-12-24,LULU,53.189998626708984,53.189998626708984,53.59000015258789,52.43000030517578,832800
2015-12-28,LULU,53.16999816894531,53.16999816894531,54.150001525878906,52.599998474121094,2158000
2015-12-29,LULU,52.369998931884766,52.369998931884766,53.75,51.880001068115234,2014600
2015-12-30,LULU,51.59000015258789,51.59000015258789,52.79999923706055,51.34000015258789,1683600
2015-12-31,LULU,52.470001220703125,52.470001220703125,53.540000915527344,51.59000015258789,1747100
2016-01-04,LULU,55.86000061035156,55.86000061035156,56.209999084472656,53.529998779296875,7252300
2016-01-05,LULU,55.59000015258789,55.59000015258789,56.66999816894531,55.15999984741211,3139700
2016-01-06,LULU,54.90999984741211,54.90999984741211,55.63999938964844,54.529998779296875,2776900
2016-01-07,LULU,54.790000915527344,54.790000915527344,56.0,53.75,4041300
2016-01-08,LULU,53.90999984741211,53.90999984741211,55.77000045776367,52.970001220703125,3170900
2016-01-11,LULU,54.72999954223633,54.72999954223633,55.09000015258789,52.709999084472656,3344000
2016-01-12,LULU,56.81999969482422,56.81999969482422,61.29999923706055,56.279998779296875,12958800
2016-01-13,LULU,55.970001220703125,55.970001220703125,58.279998779296875,55.119998931884766,3413900
2016-01-14,LULU,56.630001068115234,56.630001068115234,57.380001068115234,53.599998474121094,3625600
2016-01-15,LULU,55.709999084472656,55.709999084472656,56.34000015258789,52.900001525878906,3955200
2016-01-19,LULU,56.7400016784668,56.7400016784668,57.47999954223633,55.560001373291016,3150700
2016-01-20,LULU,55.95000076293945,55.95000076293945,56.70000076293945,53.18000030517578,3217000
2016-01-21,LULU,57.09000015258789,57.09000015258789,59.029998779296875,54.849998474121094,3749700
2016-01-22,LULU,58.029998779296875,58.029998779296875,58.380001068115234,56.150001525878906,2204500
2016-01-25,LULU,57.630001068115234,57.630001068115234,58.66999816894531,57.02000045776367,2277600
2016-01-26,LULU,58.59000015258789,58.59000015258789,59.33000183105469,57.61000061035156,2630300
2016-01-27,LULU,58.810001373291016,58.810001373291016,59.90999984741211,58.38999938964844,2577800
2016-01-28,LULU,59.599998474121094,59.599998474121094,60.66999816894531,59.04999923706055,2772500
2016-01-29,LULU,62.06999969482422,62.06999969482422,62.06999969482422,59.5,3337000
2016-02-01,LULU,60.81999969482422,60.81999969482422,61.630001068115234,59.63999938964844,2403000
2016-02-02,LULU,62.0099983215332,62.0099983215332,63.5,61.119998931884766,3621400
2016-02-03,LULU,63.02000045776367,63.02000045776367,63.13999938964844,60.4900016784668,3174300
2016-02-04,LULU,62.630001068115234,62.630001068115234,63.34000015258789,61.65999984741211,2044700
2016-02-05,LULU,60.75,60.75,63.130001068115234,59.880001068115234,2662300
2016-02-08,LULU,57.959999084472656,57.959999084472656,60.11000061035156,55.369998931884766,5137000
2016-02-09,LULU,56.880001068115234,56.880001068115234,57.93000030517578,54.599998474121094,3692600
2016-02-10,LULU,57.68000030517578,57.68000030517578,58.54999923706055,56.75,1963100
2016-02-11,LULU,57.220001220703125,57.220001220703125,57.7400016784668,55.439998626708984,2188600
2016-02-12,LULU,58.84000015258789,58.84000015258789,58.93000030517578,56.560001373291016,1497200
