Price,symbol,open,high,low,close,volume
Ticker,NVAX,NVAX,NVAX,NVAX,NVAX,NVAX
date,,,,,,
2015-12-15,NVAX,164.1999969482422,164.1999969482422,165.0,151.60000610351562,309440
2015-12-16,NVAX,175.39999389648438,175.39999389648438,175.8000030517578,164.8000030517578,309805
2015-12-17,NVAX,173.39999389648438,173.39999389648438,179.0,170.39999389648438,278070
2015-12-18,NVAX,170.60000610351562,170.60000610351562,177.60000610351562,170.1999969482422,491660
2015-12-21,NVAX,172.1999969482422,172.1999969482422,174.60000610351562,165.39999389648438,252915
2015-12-22,NVAX,165.60000610351562,165.60000610351562,174.1999969482422,165.1999969482422,183470
2015-12-23,NVAX,167.1999969482422,167.1999969482422,169.39999389648438,164.1999969482422,120235
2015-12-24,NVAX,169.60000610351562,169.60000610351562,173.39999389648438,167.8000030517578,87030
2015-12-28,NVAX,165.60000610351562,165.60000610351562,170.0,164.39999389648438,151800
2015-12-29,NVAX,173.8000030517578,173.8000030517578,174.8000030517578,165.8000030517578,154880
2015-12-30,NVAX,167.0,167.0,174.0,166.39999389648438,135405
2015-12-31,NVAX,167.8000030517578,167.8000030517578,169.8000030517578,163.1999969482422,212275
2016-01-04,NVAX,157.60000610351562,157.60000610351562,165.0,155.1999969482422,244205
2016-01-05,NVAX,157.8000030517578,157.8000030517578,161.8000030517578,155.0,152660
2016-01-06,NVAX,150.8000030517578,150.8000030517578,154.8000030517578,148.1999969482422,250745
2016-01-07,NVAX,138.39999389648438,138.39999389648438,147.60000610351562,135.1999969482422,354790
2016-01-08,NVAX,141.39999389648438,141.39999389648438,143.1999969482422,139.1999969482422,150635
2016-01-11,NVAX,131.60000610351562,131.60000610351562,143.60000610351562,126.0,293075
2016-01-12,NVAX,132.8000030517578,132.8000030517578,140.0,123.0,335260
2016-01-13,NVAX,120.4000015258789,120.4000015258789,139.1999969482422,117.5999984741211,374325
2016-01-14,NVAX,131.39999389648438,131.39999389648438,134.60000610351562,99.5999984741211,551425
2016-01-15,NVAX,130.1999969482422,130.1999969482422,130.60000610351562,119.5999984741211,520175
2016-01-19,NVAX,121.4000015258789,121.4000015258789,134.8000030517578,117.0,414480
2016-01-20,NVAX,124.0,124.0,127.0,109.19999694824219,426550
2016-01-21,NVAX,124.19999694824219,124.19999694824219,131.60000610351562,120.0,342230
2016-01-22,NVAX,132.39999389648438,132.39999389648438,133.0,122.80000305175781,408605
2016-01-25,NVAX,111.19999694824219,111.19999694824219,130.8000030517578,108.5999984741211,1008375
2016-01-26,NVAX,113.0,113.0,113.0,105.4000015258789,1199150
2016-01-27,NVAX,106.80000305175781,106.80000305175781,113.80000305175781,105.5999984741211,553505
2016-01-28,NVAX,97.4000015258789,97.4000015258789,108.80000305175781,96.0,576310
2016-01-29,NVAX,103.0,103.0,105.19999694824219,98.0,424845
2016-02-01,NVAX,100.80000305175781,100.80000305175781,103.80000305175781,97.4000015258789,419610
2016-02-02,NVAX,94.0,94.0,102.19999694824219,91.4000015258789,652820
2016-02-03,NVAX,91.80000305175781,91.80000305175781,96.80000305175781,81.5999984741211,626875
2016-02-04,NVAX,97.5999984741211,97.5999984741211,99.0,87.80000305175781,545450
2016-02-05,NVAX,96.19999694824219,96.19999694824219,97.19999694824219,90.19999694824219,886590
2016-02-08,NVAX,93.0,93.0,95.19999694824219,88.4000015258789,755850
2016-02-09,NVAX,92.4000015258789,92.4000015258789,97.0,87.0,430895
2016-02-10,NVAX,93.19999694824219,93.19999694824219,100.19999694824219,92.4000015258789,407560
2016-02-11,NVAX,90.5999984741211,90.5999984741211,93.19999694824219,88.19999694824219,526780
2016-02-12,NVAX,92.19999694824219,92.19999694824219,93.5999984741211,89.5999984741211,312665
2016-02-16,NVAX,98.0,98.0,102.0,94.0,416025
2016-02-17,NVAX,101.4000015258789,101.4000015258789,102.80000305175781,98.19999694824219,404830
2016-02-18,NVAX,97.19999694824219,97.19999694824219,104.0,96.80000305175781,390415
2016-02-19,NVAX,101.19999694824219,101.19999694824219,102.5999984741211,94.0,434865
2016-02-22,NVAX,100.5999984741211,100.5999984741211,104.4000015258789,100.0,250695
2016-02-23,NVAX,96.5999984741211,96.5999984741211,102.0,96.4000015258789,193880
2016-02-24,NVAX,95.80000305175781,95.80000305175781,96.80000305175781,90.19999694824219,302650
2016-02-25,NVAX,91.80000305175781,91.80000305175781,97.80000305175781,91.0,299840
2016-02-26,NVAX,94.19999694824219,94.19999694824219,95.0,90.5999984741211,273675
2016-02-29,NVAX,87.19999694824219,87.19999694824219,96.0,84.4000015258789,606250
2016-03-01,NVAX,94.0,94.0,96.4000015258789,87.0,881285
2016-03-02,NVAX,96.4000015258789,96.4000015258789,97.80000305175781,91.4000015258789,484375
2016-03-03,NVAX,95.80000305175781,95.80000305175781,97.4000015258789,94.0,391575
2016-03-04,NVAX,97.19999694824219,97.19999694824219,99.80000305175781,94.5999984741211,302560
2016-03-07,NVAX,102.80000305175781,102.80000305175781,106.5999984741211,95.0,337920
2016-03-08,NVAX,97.5999984741211,97.5999984741211,103.80000305175781,97.19999694824219,315605
2016-03-09,NVAX,98.19999694824219,98.19999694824219,99.5999984741211,94.5999984741211,185575
2016-03-10,NVAX,95.0,95.0,101.19999694824219,92.5999984741211,221845
2016-03-11,NVAX,97.5999984741211,97.5999984741211,97.80000305175781,93.4000015258789,177190
2016-03-14,NVAX,107.5999984741211,107.5999984741211,110.0,95.80000305175781,429960
2016-03-15,NVAX,99.80000305175781,99.80000305175781,107.4000015258789,99.0,299390
2016-03-16,NVAX,97.4000015258789,97.4000015258789,102.5999984741211,94.4000015258789,256535
2016-03-17,NVAX,98.0,98.0,99.5999984741211,93.80000305175781,221560
2016-03-18,NVAX,101.4000015258789,101.4000015258789,102.4000015258789,97.5999984741211,457400
2016-03-21,NVAX,105.0,105.0,107.4000015258789,100.4000015258789,278050
2016-03-22,NVAX,110.4000015258789,110.4000015258789,112.80000305175781,103.19999694824219,342380
2016-03-23,NVAX,103.19999694824219,103.19999694824219,112.4000015258789,103.0,304780
2016-03-24,NVAX,103.5999984741211,103.5999984741211,106.5999984741211,100.0,231115
2016-03-28,NVAX,100.80000305175781,100.80000305175781,104.80000305175781,100.80000305175781,188145
2016-03-29,NVAX,104.19999694824219,104.19999694824219,104.4000015258789,97.19999694824219,240930
2016-03-30,NVAX,102.80000305175781,102.80000305175781,111.80000305175781,101.5999984741211,291355
2016-03-31,NVAX,103.19999694824219,103.19999694824219,106.4000015258789,101.80000305175781,353000
2016-04-01,NVAX,109.80000305175781,109.80000305175781,111.0,101.5999984741211,278905
2016-04-04,NVAX,106.4000015258789,106.4000015258789,110.19999694824219,105.4000015258789,279180
2016-04-05,NVAX,106.80000305175781,106.80000305175781,110.5999984741211,103.19999694824219,297925
2016-04-06,NVAX,113.5999984741211,113.5999984741211,113.80000305175781,106.19999694824219,332800
2016-04-07,NVAX,109.80000305175781,109.80000305175781,116.19999694824219,109.4000015258789,326955
2016-04-08,NVAX,110.19999694824219,110.19999694824219,113.80000305175781,109.0,209415
2016-04-11,NVAX,109.4000015258789,109.4000015258789,115.0,109.0,249730
2016-04-12,NVAX,109.4000015258789,109.4000015258789,111.0,105.5999984741211,234235
2016-04-13,NVAX,111.4000015258789,111.4000015258789,112.4000015258789,109.19999694824219,235070
2016-04-14,NVAX,111.4000015258789,111.4000015258789,114.0,109.19999694824219,323885
2016-04-15,NVAX,109.4000015258789,109.4000015258789,111.5999984741211,107.4000015258789,236985
2016-04-18,NVAX,109.80000305175781,109.80000305175781,111.5999984741211,107.0,185675
2016-04-19,NVAX,106.4000015258789,106.4000015258789,110.80000305175781,105.19999694824219,261405
2016-04-20,NVAX,104.5999984741211,104.5999984741211,106.80000305175781,102.4000015258789,207005
2016-04-21,NVAX,110.0,110.0,110.19999694824219,103.5999984741211,206085
2016-04-22,NVAX,112.0,112.0,112.0,106.5999984741211,231080
2016-04-25,NVAX,109.0,109.0,112.5999984741211,108.19999694824219,153950
